entity_id,ticker,historical_ticker,cik,company_name,sector,industry,selection_date,market_cap_at_selection,market_cap_source,market_cap_available_time_utc,market_cap_quality_flag,entry_date,exit_date,delisting_date,mapping_source,mapping_available_time_utc
CIK0000789019,MSFT,MSFT,0000789019,Microsoft Corporation,Information Technology,Software,2016-01-01,50,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001065280,NFLX,NFLX,0001065280,"Netflix, Inc.",Communication Services,Entertainment,2016-01-01,49,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000320187,NKE,NKE,0000320187,"NIKE, Inc.",Consumer Discretionary,Textiles Apparel and Luxury Goods,2016-01-01,48,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000063908,MCD,MCD,0000063908,McDonald's Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,2016-01-01,47,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001326801,META,FB,0001326801,"Meta Platforms, Inc.",Communication Services,Interactive Media and Services,2016-01-01,46,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed_fb_meta,2016-01-01T00:00:00+00:00
CIK0000829224,SBUX,SBUX,0000829224,Starbucks Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,2016-01-01,45,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000019617,JPM,JPM,0000019617,JPMorgan Chase & Co.,Financials,Banks,2016-01-01,44,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001403161,V,V,0001403161,Visa Inc.,Financials,Transaction and Payment Processing Services,2016-01-01,43,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000034088,XOM,XOM,0000034088,Exxon Mobil Corporation,Energy,Oil Gas and Consumable Fuels,2016-01-01,42,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000059478,LLY,LLY,0000059478,Eli Lilly and Company,Health Care,Pharmaceuticals,2016-01-01,41,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001341439,ORCL,ORCL,0001341439,Oracle Corporation,Information Technology,Software,2016-01-01,40,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000796343,ADBE,ADBE,0000796343,Adobe Inc.,Information Technology,Software,2016-01-01,39,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001108524,CRM,CRM,0001108524,"Salesforce, Inc.",Information Technology,Software,2016-01-01,38,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000858877,CSCO,CSCO,0000858877,"Cisco Systems, Inc.",Information Technology,Communications Equipment,2016-01-01,37,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000051143,IBM,IBM,0000051143,International Business Machines Corporation,Information Technology,IT Services,2016-01-01,36,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000070858,BAC,BAC,0000070858,Bank of America Corporation,Financials,Banks,2016-01-01,35,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000886982,GS,GS,0000886982,"The Goldman Sachs Group, Inc.",Financials,Capital Markets,2016-01-01,34,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000895421,MS,MS,0000895421,Morgan Stanley,Financials,Capital Markets,2016-01-01,33,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000072971,WFC,WFC,0000072971,Wells Fargo & Company,Financials,Banks,2016-01-01,32,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000004962,AXP,AXP,0000004962,American Express Company,Financials,Consumer Finance,2016-01-01,31,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000078003,PFE,PFE,0000078003,Pfizer Inc.,Health Care,Pharmaceuticals,2016-01-01,30,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000310158,MRK,MRK,0000310158,"Merck & Co., Inc.",Health Care,Pharmaceuticals,2016-01-01,29,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001551152,ABBV,ABBV,0001551152,AbbVie Inc.,Health Care,Biotechnology,2016-01-01,28,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000200406,JNJ,JNJ,0000200406,Johnson & Johnson,Health Care,Pharmaceuticals,2016-01-01,27,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000001800,ABT,ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,2016-01-01,26,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000909832,COST,COST,0000909832,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2016-01-01,25,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000021344,KO,KO,0000021344,The Coca-Cola Company,Consumer Staples,Beverages,2016-01-01,24,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000077476,PEP,PEP,0000077476,"PepsiCo, Inc.",Consumer Staples,Beverages,2016-01-01,23,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000354950,HD,HD,0000354950,"The Home Depot, Inc.",Consumer Discretionary,Specialty Retail,2016-01-01,22,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001166691,CMCSA,CMCSA,0001166691,Comcast Corporation,Communication Services,Media,2016-01-01,21,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed_api_coverage_verified,2016-01-01T00:00:00+00:00
CIK0000093410,CVX,CVX,0000093410,Chevron Corporation,Energy,Oil Gas and Consumable Fuels,2016-01-01,20,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001163165,COP,COP,0001163165,ConocoPhillips,Energy,Oil Gas and Consumable Fuels,2016-01-01,19,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000821189,EOG,EOG,0000821189,"EOG Resources, Inc.",Energy,Oil Gas and Consumable Fuels,2016-01-01,18,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000797468,OXY,OXY,0000797468,Occidental Petroleum Corporation,Energy,Oil Gas and Consumable Fuels,2016-01-01,17,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000100885,UNP,UNP,0000100885,Union Pacific Corporation,Industrials,Ground Transportation,2016-01-01,16,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000018230,CAT,CAT,0000018230,Caterpillar Inc.,Industrials,Machinery,2016-01-01,15,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000773840,HON,HON,0000773840,Honeywell International Inc.,Industrials,Industrial Conglomerates,2016-01-01,14,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000040545,GE,GE,0000040545,GE Aerospace,Industrials,Aerospace and Defense,2016-01-01,13,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed_ge_restructuring_review,2016-01-01T00:00:00+00:00
CIK0001090727,UPS,UPS,0001090727,"United Parcel Service, Inc.",Industrials,Air Freight and Logistics,2016-01-01,12,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000753308,NEE,NEE,0000753308,"NextEra Energy, Inc.",Utilities,Electric Utilities,2016-01-01,11,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001326160,DUK,DUK,0001326160,Duke Energy Corporation,Utilities,Electric Utilities,2016-01-01,10,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000092122,SO,SO,0000092122,The Southern Company,Utilities,Electric Utilities,2016-01-01,9,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000004904,AEP,AEP,0000004904,"American Electric Power Company, Inc.",Utilities,Electric Utilities,2016-01-01,8,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000002969,APD,APD,0000002969,"Air Products and Chemicals, Inc.",Materials,Chemicals,2016-01-01,7,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000089800,SHW,SHW,0000089800,The Sherwin-Williams Company,Materials,Chemicals,2016-01-01,6,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000831259,FCX,FCX,0000831259,Freeport-McMoRan Inc.,Materials,Metals and Mining,2016-01-01,5,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001164727,NEM,NEM,0001164727,Newmont Corporation,Materials,Metals and Mining,2016-01-01,4,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001045609,PLD,PLD,0001045609,"Prologis, Inc.",Real Estate,Industrial REITs,2016-01-01,3,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001053507,AMT,AMT,0001053507,American Tower Corporation,Real Estate,Telecom Tower REITs,2016-01-01,2,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001141391,MA,MA,0001141391,Mastercard Incorporated,Financials,Transaction and Payment Processing Services,2016-01-01,1,manual_sector_seed_rank,2016-01-01T00:00:00+00:00,seed_rank_not_research_market_cap,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
